Wall time,Step,Value
1515927681.32338,1641,0.67578125
1515927724.92446,1661,0.69140625
1515927771.051544,1681,0.68359375
1515927815.213131,1701,0.6796875
1515927862.505274,1721,0.68359375
1515927905.897175,1741,0.7109375
1515927947.373427,1761,0.69921875
1515927989.081483,1781,0.64453125
1515928029.514971,1801,0.74609375
1515928069.698757,1821,0.73828125
1515928110.112548,1841,0.73828125
1515928161.813072,1861,0.7109375
1515928207.195812,1881,0.6953125
1515928248.367961,1901,0.68359375
1515928289.341792,1921,0.734375
1515928330.627911,1941,0.640625
1515928373.26126,1961,0.69921875
1515928414.101968,1981,0.70703125
1515928454.424799,2001,0.7109375
1515928497.335813,2021,0.6953125
1515928538.157276,2041,0.796875
1515928580.784628,2061,0.6953125
1515928622.087188,2081,0.66015625
1515928662.690015,2101,0.65234375
1515928702.632335,2121,0.703125
1515928743.113495,2141,0.703125
1515928783.345901,2161,0.7265625
1515928823.313173,2181,0.75
1515928863.961504,2201,0.71875
1515928904.72692,2221,0.7265625
1515928945.177894,2241,0.65625
1515928985.907639,2261,0.6953125
1515929025.94621,2281,0.78515625
1515929065.921547,2301,0.7734375
1515929106.162916,2321,0.75
1515929146.590048,2341,0.7578125
1515929187.732356,2361,0.73828125
1515929227.824733,2381,0.703125
1515929267.809025,2401,0.6953125
1515929308.267287,2421,0.66796875
1515929348.097508,2441,0.76171875
1515929388.209747,2461,0.75
1515929427.969439,2481,0.75
1515929468.099052,2501,0.75
1515943896.490856,2521,0.76953125
1515949532.357551,2541,0.71484375
1515949573.112514,2561,0.76171875
1515949614.125016,2581,0.73828125
1515949665.094204,2601,0.75
1515949708.112329,2621,0.76953125
1515949750.536418,2641,0.7265625
1515949797.199147,2661,0.75
1515949846.758997,2681,0.69921875
1515949892.204912,2701,0.73828125
1515949937.363505,2721,0.7109375
1515949989.279463,2741,0.76953125
1515950037.869139,2761,0.78515625
1515950083.066946,2781,0.7421875
1515950125.226105,2801,0.7734375
1515950166.999915,2821,0.78125
1515950209.090386,2841,0.73046875
1515950251.18783,2861,0.78515625
1515950292.992303,2881,0.7421875
1515950334.388767,2901,0.8125
1515950375.645548,2921,0.7265625
1515950417.35242,2941,0.75
1515950459.115399,2961,0.80859375
1515950500.516581,2981,0.765625
1515950541.901044,3001,0.77734375
1515950583.6279,3021,0.78125
1515950625.057665,3041,0.77734375
1515950666.385764,3061,0.8046875
1515950710.500847,3081,0.72265625
1515950754.260583,3101,0.7421875
1515950814.301001,3121,0.828125
1515950858.65289,3141,0.76171875
1515950900.827252,3161,0.79296875
1515950941.767067,3181,0.80859375
1515950986.360021,3201,0.8203125
1515951029.508967,3221,0.7734375
1515951070.950349,3241,0.765625
1515951113.346489,3261,0.76953125
1515951155.655091,3281,0.78515625
1515951199.571972,3301,0.80078125
1515951242.160711,3321,0.83203125
1515951284.514634,3341,0.8203125
1515951328.140818,3361,0.72265625
1515951374.097955,3381,0.8125
1515951416.374999,3401,0.80078125
1515951457.387293,3421,0.7578125
1515951507.875159,3441,0.77734375
1515951552.617999,3461,0.8203125
1515951596.04552,3481,0.8046875
1515951637.391834,3501,0.83984375
1515951677.932291,3521,0.81640625
1515951721.720893,3541,0.796875
1515951764.99872,3561,0.7734375
1515951805.699766,3581,0.81640625
